#mGo	mLSP	Total	Counts	genWeight
1350	250	1907544	96772	96772.000
1350	1125	1907544	149750	149750.000
1350	1000	1907544	144072	144072.000
#mGo	mLSP	Total	Counts	genWeight
1350	900	1928450	101209	101209.000
1350	50	1928450	101115	101115.000
1375	1000	1928450	152589	152589.000
1350	550	1928450	101451	101451.000
1350	700	1928450	101998	101998.000
1350	650	1928450	101093	101093.000
1350	800	1928450	101626	101626.000
1350	350	1928450	101647	101647.000
1350	500	1928450	101248	101248.000
1350	450	1928450	101707	101707.000
1350	600	1928450	101840	101840.000
1350	850	1928450	101161	101161.000
1350	950	1928450	152354	152354.000
1375	1025	1928450	152754	152754.000
1350	975	1928450	151608	151608.000
1350	400	1928450	101686	101686.000
1350	750	1928450	101364	101364.000
#mGo	mLSP	Total	Counts	genWeight
1375	1075	1057949	152874	152874.000
1375	1125	1057949	153283	153283.000
1375	975	1057949	140649	140649.000
1375	1050	1057949	152604	152604.000
1375	1100	1057949	153318	153318.000
1375	950	1057949	152493	152493.000
1375	1150	1057949	152728	152728.000
#mGo	mLSP	Total	Counts	genWeight
1400	350	2052878	102607	102607.000
1400	1075	2052878	154066	154066.000
1400	200	2052878	102776	102776.000
1400	1150	2052878	154107	154107.000
1400	400	2052878	102571	102571.000
1400	1125	2052878	154082	154082.000
1400	250	2052878	102587	102587.000
1400	100	2052878	102774	102774.000
1400	1000	2052878	153545	153545.000
1400	1175	2052878	154034	154034.000
1400	300	2052878	102966	102966.000
1400	1025	2052878	153793	153793.000
1400	150	2052878	102530	102530.000
1400	0	2052878	102885	102885.000
1400	1100	2052878	154011	154011.000
1400	1050	2052878	153544	153544.000
#mGo	mLSP	Total	Counts	genWeight
1425	1000	1997485	154831	154831.000
1425	1075	1997485	154979	154979.000
1400	50	1997485	102589	102589.000
1400	850	1997485	98059	98059.000
1400	700	1997485	102175	102175.000
1400	550	1997485	102826	102826.000
1425	1025	1997485	155567	155567.000
1400	900	1997485	98107	98107.000
1400	750	1997485	102290	102290.000
1400	600	1997485	102201	102201.000
1400	450	1997485	103130	103130.000
1425	1100	1997485	155304	155304.000
1425	1050	1997485	155099	155099.000
1400	950	1997485	102901	102901.000
1400	800	1997485	102168	102168.000
1400	650	1997485	102706	102706.000
1400	500	1997485	102553	102553.000
#mGo	mLSP	Total	Counts	genWeight
1425	1125	2061505	154730	154730.000
1450	1125	2061505	155599	155599.000
1450	1150	2061505	156007	156007.000
1450	100	2061505	103629	103629.000
1450	200	2061505	100273	100273.000
1450	1075	2061505	155852	155852.000
1450	1050	2061505	155856	155856.000
1425	1150	2061505	151395	151395.000
1450	1100	2061505	152865	152865.000
1450	1200	2061505	156171	156171.000
1425	1175	2061505	151568	151568.000
1450	1175	2061505	155790	155790.000
1450	0	2061505	104036	104036.000
1450	150	2061505	103974	103974.000
1450	1000	2061505	103760	103760.000
#mGo	mLSP	Total	Counts	genWeight
1475	1075	1945370	152040	152040.000
1450	350	1945370	99184	99184.000
1450	900	1945370	99847	99847.000
1450	650	1945370	104215	104215.000
1450	400	1945370	104113	104113.000
1450	550	1945370	104250	104250.000
1450	300	1945370	103929	103929.000
1450	50	1945370	99238	99238.000
1450	950	1945370	99266	99266.000
1450	600	1945370	94433	94433.000
1450	750	1945370	104160	104160.000
1450	500	1945370	104218	104218.000
1450	250	1945370	104376	104376.000
1450	800	1945370	103861	103861.000
1475	1050	1945370	156478	156478.000
1450	850	1945370	103995	103995.000
1450	700	1945370	104023	104023.000
1450	450	1945370	103744	103744.000
#mGo	mLSP	Total	Counts	genWeight
1500	1125	2101387	157926	157926.000
1500	100	2101387	105596	105596.000
1475	1100	2101387	157169	157169.000
1500	1150	2101387	158042	158042.000
1500	1200	2101387	157569	157569.000
1475	1175	2101387	156487	156487.000
1500	1175	2101387	158086	158086.000
1500	150	2101387	105413	105413.000
1475	1150	2101387	157221	157221.000
1500	1000	2101387	105062	105062.000
1500	1250	2101387	157720	157720.000
1500	0	2101387	105005	105005.000
1500	1050	2101387	105129	105129.000
1500	1100	2101387	158508	158508.000
1475	1125	2101387	156454	156454.000
#mGo	mLSP	Total	Counts	genWeight
1500	50	2102185	105270	105270.000
1500	900	2102185	104866	104866.000
1525	1125	2102185	158543	158543.000
1500	350	2102185	104944	104944.000
1500	400	2102185	105116	105116.000
1500	650	2102185	104995	104995.000
1500	700	2102185	105050	105050.000
1500	950	2102185	101741	101741.000
1500	200	2102185	104843	104843.000
1500	850	2102185	105242	105242.000
1500	450	2102185	105866	105866.000
1500	500	2102185	105075	105075.000
1500	750	2102185	105315	105315.000
1500	800	2102185	105642	105642.000
1500	250	2102185	105230	105230.000
1525	1100	2102185	158816	158816.000
1500	300	2102185	105046	105046.000
1500	550	2102185	105336	105336.000
1500	600	2102185	105249	105249.000
#mGo	mLSP	Total	Counts	genWeight
1550	1200	2076267	159514	159514.000
1550	1100	2076267	106988	106988.000
1550	100	2076267	106884	106884.000
1525	1175	2076267	159078	159078.000
1550	1150	2076267	159913	159913.000
1550	1000	2076267	106761	106761.000
1525	1150	2076267	159104	159104.000
1550	300	2076267	105964	105964.000
1550	250	2076267	106604	106604.000
