#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
2200	1550	31135695	31135695.000	17480	17480.000
2250	1300	31135695	31135695.000	22065	22065.000
1700	1400	31135695	31135695.000	20211	20211.000
2100	200	31135695	31135695.000	16918	16918.000
850	300	31135695	31135695.000	147701	147701.000
900	200	31135695	31135695.000	149157	149157.000
2100	0	31135695	31135695.000	20243	20243.000
1850	100	31135695	31135695.000	22298	22298.000
1250	450	31135695	31135695.000	50872	50872.000
900	550	31135695	31135695.000	160765	160765.000
950	650	31135695	31135695.000	150720	150720.000
2150	1000	31135695	31135695.000	17318	17318.000
1750	1300	31135695	31135695.000	20330	20330.000
1550	400	31135695	31135695.000	22037	22037.000
700	400	31135695	31135695.000	156282	156282.000
1050	700	31135695	31135695.000	155634	155634.000
1950	600	31135695	31135695.000	18498	18498.000
1400	600	31135695	31135695.000	20667	20667.000
1900	1450	31135695	31135695.000	18611	18611.000
1000	100	31135695	31135695.000	154586	154586.000
2000	300	31135695	31135695.000	21714	21714.000
1350	750	31135695	31135695.000	28576	28576.000
1450	200	31135695	31135695.000	24211	24211.000
1600	0	31135695	31135695.000	21960	21960.000
2000	900	31135695	31135695.000	20259	20259.000
2200	1500	31135695	31135695.000	19597	19597.000
1450	1100	31135695	31135695.000	18551	18551.000
1500	200	31135695	31135695.000	23403	23403.000
700	450	31135695	31135695.000	151559	151559.000
1250	950	31135695	31135695.000	54749	54749.000
2250	500	31135695	31135695.000	25779	25779.000
1500	1275	31135695	31135695.000	20473	20473.000
1500	800	31135695	31135695.000	18432	18432.000
2050	0	31135695	31135695.000	21750	21750.000
1500	1100	31135695	31135695.000	20313	20313.000
1950	1350	31135695	31135695.000	17959	17959.000
2200	1600	31135695	31135695.000	22958	22958.000
1950	1050	31135695	31135695.000	20940	20940.000
1150	800	31135695	31135695.000	93259	93259.000
1800	1100	31135695	31135695.000	21104	21104.000
1350	700	31135695	31135695.000	29146	29146.000
1650	1250	31135695	31135695.000	20344	20344.000
1150	925	31135695	31135695.000	96341	96341.000
1100	600	31135695	31135695.000	138216	138216.000
1500	500	31135695	31135695.000	15229	15229.000
1600	1150	31135695	31135695.000	18289	18289.000
1150	550	31135695	31135695.000	100870	100870.000
900	350	31135695	31135695.000	144513	144513.000
1200	550	31135695	31135695.000	71353	71353.000
2300	1500	31135695	31135695.000	20317	20317.000
2050	700	31135695	31135695.000	20854	20854.000
1250	550	31135695	31135695.000	56928	56928.000
1950	1300	31135695	31135695.000	23878	23878.000
2050	1150	31135695	31135695.000	21013	21013.000
1550	300	31135695	31135695.000	20863	20863.000
1600	400	31135695	31135695.000	20209	20209.000
1950	400	31135695	31135695.000	18593	18593.000
1700	1475	31135695	31135695.000	19533	19533.000
1000	700	31135695	31135695.000	154650	154650.000
1350	1100	31135695	31135695.000	29506	29506.000
1800	1200	31135695	31135695.000	19009	19009.000
1350	200	31135695	31135695.000	33435	33435.000
1700	200	31135695	31135695.000	19430	19430.000
1650	600	31135695	31135695.000	17865	17865.000
1600	500	31135695	31135695.000	21008	21008.000
1200	450	31135695	31135695.000	65725	65725.000
750	525	31135695	31135695.000	155748	155748.000
1700	1100	31135695	31135695.000	19309	19309.000
1750	200	31135695	31135695.000	19230	19230.000
1950	500	31135695	31135695.000	17715	17715.000
1150	900	31135695	31135695.000	96003	96003.000
2000	1400	31135695	31135695.000	25486	25486.000
1050	825	31135695	31135695.000	156042	156042.000
1650	800	31135695	31135695.000	17658	17658.000
950	450	31135695	31135695.000	152649	152649.000
800	500	31135695	31135695.000	147281	147281.000
1850	800	31135695	31135695.000	22209	22209.000
1000	200	31135695	31135695.000	149292	149292.000
1200	975	31135695	31135695.000	74645	74645.000
750	500	31135695	31135695.000	155537	155537.000
1400	800	31135695	31135695.000	20640	20640.000
2050	100	31135695	31135695.000	19902	19902.000
1450	1225	31135695	31135695.000	20025	20025.000
1400	500	31135695	31135695.000	26501	26501.000
2250	200	31135695	31135695.000	19737	19737.000
2000	600	31135695	31135695.000	22722	22722.000
1950	0	31135695	31135695.000	21663	21663.000
1550	1150	31135695	31135695.000	22025	22025.000
1900	0	31135695	31135695.000	16778	16778.000
1950	1000	31135695	31135695.000	15267	15267.000
1850	1100	31135695	31135695.000	19517	19517.000
2150	100	31135695	31135695.000	18159	18159.000
1150	850	31135695	31135695.000	96656	96656.000
1350	850	31135695	31135695.000	28694	28694.000
1950	1550	31135695	31135695.000	19287	19287.000
1750	300	31135695	31135695.000	23875	23875.000
2100	500	31135695	31135695.000	18603	18603.000
1600	1100	31135695	31135695.000	20508	20508.000
