#mGo	mLSP\ISRweight\ISRweight_up\ISRweight_down
2200	1550	1.115820	1.054746	1.184402
2250	1300	1.127377	1.059883	1.204052
1700	1400	1.124137	1.058449	1.198517
2100	200	1.166688	1.076949	1.272742
850	300	1.139377	1.065159	1.224712
900	200	1.144439	1.067367	1.233508
2100	0	1.172033	1.079223	1.282308
1850	100	1.166827	1.077009	1.272989
1250	450	1.141845	1.066236	1.228995
900	550	1.133497	1.062581	1.214555
950	650	1.140197	1.065517	1.226134
2150	1000	1.137615	1.064388	1.221663
1750	1300	1.118166	1.055795	1.188370
1550	400	1.149098	1.069390	1.241645
700	400	1.139880	1.065379	1.225584
1050	700	1.130941	1.061457	1.210161
1950	600	1.145348	1.067762	1.235094
1400	600	1.138699	1.064862	1.223538
1900	1450	1.112018	1.053044	1.177988
1000	100	1.153237	1.071179	1.248910
2000	300	1.162566	1.075189	1.265400
1350	750	1.133969	1.062789	1.215367
1450	200	1.158642	1.073507	1.258444
1600	0	1.165770	1.076559	1.271103
2000	900	1.136576	1.063934	1.219865
2200	1500	1.116966	1.055258	1.186340
1450	1100	1.120796	1.056966	1.192832
1500	200	1.160955	1.074499	1.262541
700	450	1.145641	1.067890	1.235603
1250	950	1.133579	1.062618	1.214695
2250	500	1.156234	1.072471	1.254191
1500	1275	1.137915	1.064521	1.222178
1500	800	1.133780	1.062706	1.215044
2050	0	1.171942	1.079184	1.282145
1500	1100	1.121018	1.057064	1.193210
1950	1350	1.118644	1.056006	1.189181
2200	1600	1.110779	1.052487	1.175907
1950	1050	1.128936	1.060572	1.206721
1150	800	1.128490	1.060376	1.205957
1800	1100	1.125934	1.059246	1.201584
1350	700	1.134387	1.062972	1.216088
1650	1250	1.117107	1.055322	1.186577
1150	925	1.145753	1.067939	1.235798
1100	600	1.134560	1.063048	1.216387
1500	500	1.144446	1.067369	1.233520
1600	1150	1.121214	1.057151	1.193541
1150	550	1.138255	1.064668	1.222769
900	350	1.139171	1.065069	1.224354
1200	550	1.137384	1.064287	1.221262
2300	1500	1.117969	1.055705	1.188037
2050	700	1.144750	1.067502	1.234052
1250	550	1.138888	1.064945	1.223865
1950	1300	1.120175	1.056689	1.191778
